CHEMICAL,CAS#
"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",354-11-0
"1,1,1,2-Tetrachloroethane",630-20-6
"1,1,1-Trichloroethane",71-55-6
"1,1,2,2-Tetrachloro-1-fluoroethane (HCFC-121)",354-14-3
"1,1,2,2-Tetrachloroethane",79-34-5
"1,1,2-Trichloroethane",79-00-5
"1,1-Dichloro-1,2,2,3,3-pentafluoropropane (HCFC-225cc)",13474-88-9
"1,1-Dichloro-1-fluoroethane (HCFC-141b)",1717-00-6
"1,1-Dimethylhydrazine",57-14-7
"1,2,3-Trichloropropane",96-18-4
"1,2,4-Trichlorobenzene",120-82-1
"1,2,4-Trimethylbenzene",95-63-6
"1,2-Butylene oxide",106-88-7
"1,2-Dibromo-3-chloropropane",96-12-8
"1,2-Dibromoethane",106-93-4
"1,2-Dichloro-1,1,2-trifluoroethane (HCFC-123a)",354-23-4
"1,2-Dichloro-1,1-difluoroethane (HCFC-132b)",1649-08-7
"1,2-Dichlorobenzene",95-50-1
"1,2-Dichloroethane",107-06-2
"1,2-Dichloroethylene",540-59-0
"1,2-Dichloropropane",78-87-5
"1,2-Diphenylhydrazine",122-66-7
"1,2-Phenylenediamine",95-54-5
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",1222-05-5
"1,3-Butadiene",106-99-0
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane (HCFC-225cb)",507-55-1
"1,3-Dichloro-2-propanol",96-23-1
"1,3-Dichlorobenzene",541-73-1
"1,3-Dichloropropylene",542-75-6
"1,3-Phenylenediamine",108-45-2
"1,3-Propane sultone",1120-71-4
"1,4-Dichloro-2-butene",764-41-0
"1,4-Dichlorobenzene",106-46-7
"1-Bromo-1-(bromomethyl)-1,3-propanedicarbonitrile",35691-65-7
1-Bromopropane,106-94-5
"1-Chloro-1,1,2,2-tetrafluoroethane (HCFC-124a)",354-25-6
"1-Chloro-1,1-difluoroethane (HCFC-142b)",75-68-3
"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(2-hydroxyethyl)-N-methyl-",24448-09-7
"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-[2-[(γ-ω-perfluoro-C4-20-alkyl)thio]acetyl] derivs., inner salts",1078715-61-3
"1-Propanaminium, N,N,N-trimethyl-3-[[(pentadecafluoroheptyl)sulfonyl]amino]-, iodide",67584-58-1
"1-Propanaminium, N,N,N-trimethyl-3-[[(tridecafluorohexyl)sulfonyl]amino]-, iodide",68957-58-4
"1-Propanaminium, N,N,N-trimethyl-3-[[(undecafluoropentyl)sulfonyl]amino]-, iodide",68957-57-3
"2,2-Bis(bromomethyl)-1,3-propanediol",3296-90-0
"2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123)",306-83-2
"2,3-Dichloropropene",78-88-6
"2,4,5-Trichlorophenol",95-95-4
"2,4,6-Trichlorophenol",88-06-2
"2,4-D 2-butoxyethyl ester",1929-73-3
"2,4-D 2-ethyl-4-methylpentyl ester",53404-37-8
"2,4-D 2-ethylhexyl ester",1928-43-4
"2,4-D butyl ester",94-80-4
"2,4-D isopropyl ester",94-11-1
"2,4-Diaminotoluene",95-80-7
"2,4-Dichlorophenol",120-83-2
"2,4-Dimethylphenol",105-67-9
"2,4-Dinitrophenol",51-28-5
"2,4-Dinitrotoluene",121-14-2
"2,6-Dinitrotoluene",606-20-2
2-Acetylaminofluorene,53-96-3
"2-Chloro-1,1,1,2-tetrafluoroethane (HCFC-124)",2837-89-0
"2-Chloro-1,1,1-trifluoroethane (HCFC-133a)",75-88-7
2-Ethoxyethanol,110-80-5
2-Mercaptobenzothiazole,149-30-4
2-Methoxyethanol,109-86-4
2-Methyllactonitrile,75-86-5
2-Methylpyridine,109-06-8
2-Nitrophenol,88-75-5
2-Nitropropane,79-46-9
2-Phenylphenol,90-43-7
"2-Propenoic acid, 2-[butyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl ester, telomer with 2-[butyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, methyloxirane polymer with oxirane di-2-propenoate, methyloxirane polymer with oxirane mono-2-propenoate and 1-octanethiol",68298-62-4
"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-methyl-2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-methyl-2-propenoate",65104-45-2
"2-Propenoic acid, butyl ester, telomer with 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, α-(2-methyl-1-oxo-2-propenyl)-ω-hydroxypoly(oxy-1,4-butanediyl), α-(2-methyl-1-oxo-2-propenyl)-ω-[(2-methyl-1-oxo-2-propenyl)oxy]poly(oxy-1,4-butanediyl), 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and 1-octanethiol",68227-96-3
2-[[(Heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate,25268-77-3
"3,3'-Dichlorobenzidine",91-94-1
"3,3'-Dimethoxybenzidine",119-90-4
"3,3'-Dimethylbenzidine",119-93-7
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane (HCFC-225ca)",422-56-0
"3-Chloro-1,1,1-trifluoropropane (HCFC-253fb)",460-35-5
3-Chloro-2-methyl-1-propene,563-47-3
3-Chloropropionitrile,542-76-7
3-Iodo-2-propynyl butylcarbamate,55406-53-6
"3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide",1652-63-7
"4,4'-Diaminodiphenyl ether",101-80-4
"4,4'-Isopropylidenediphenol",80-05-7
"4,4'-Methylenebis(2-chloroaniline)",101-14-4
"4,4'-Methylenedianiline",101-77-9
4-Aminoazobenzene,60-09-3
4-Aminobiphenyl,92-67-1
4-Dimethylaminoazobenzene,60-11-7
4-Nitrophenol,100-02-7
5-Nitro-o-toluidine,99-55-8
Acetaldehyde,75-07-0
Acetamide,60-35-5
"Acetamide, N-(2-aminoethyl), 2[(γ-ω-perfluoro-C4-20-alkyl)thio] derivs., polymers with N1,N1-dimethyl-1,3-propanediamine, epichlorohydrin and ethylenediamine, oxidized",2742694-36-4
"Acetic acid, 2-[(γ-ω-perfluoro-C4-20-alkyl)thio] derivs., 2-hydroxypropyl esters",2744262-09-5
Acetonitrile,75-05-8
Acetophenone,98-86-2
Benzene,71-43-2
Benzidine,92-87-5
"Benzo[g,h,i]perylene",191-24-2
Benzoyl peroxide,94-36-0
Biphenyl,92-52-4
Bis(2-chloro-1-methylethyl) ether,108-60-1
Bis(2-chloroethoxy)methane,111-91-1
Bis(2-chloroethyl) ether,111-44-4
Bis(chloromethyl) ether,542-88-1
Bromochlorodifluoromethane (Halon 1211),353-59-3
Bromomethane,74-83-9
Bromotrifluoromethane (Halon 1301),75-63-8
Butyl acrylate,141-32-2
Butyraldehyde,123-72-8
Carbon disulfide,75-15-0
Carbonyl sulfide,463-58-1
Certain glycol ethers,N230
Chlorimuron-ethyl,90982-32-4
Chloroacetic acid,79-11-8
Chlorobenzene,108-90-7
Chlorobenzilate,510-15-6
Chlorodifluoromethane (HCFC-22),75-45-6
Chloroethane,75-00-3
Chloromethane,74-87-3
Chloromethyl methyl ether,107-30-2
Chlorophenols,N084
Chlorotetrafluoroethane,63938-10-3
Chlorotrifluoromethane (CFC-13),75-72-9
Chlorpyrifos-methyl,5598-13-0
Cycloate,1134-23-2
Cyclohexane,110-82-7
Cyclohexanol,108-93-0
Decabromodiphenyl oxide,1163-19-5
Di(2-ethylhexyl) phthalate,117-81-7
Diaminotoluene (mixed isomers),25376-45-8
Dibenzofuran,132-64-9
Dibromotetrafluoroethane,124-73-2
Dibutyl phthalate,84-74-2
Dichlorobenzene (mixed isomers),25321-22-6
Dichlorobromomethane,75-27-4
Dichlorodifluoromethane (CFC-12),75-71-8
Dichlorofluoromethane (HCFC-21),75-43-4
Dichloromethane,75-09-2
Dichloropentafluoropropane,127564-92-5
Dichlorophene,97-23-4
Dichlorotetrafluoroethane (CFC-114),76-14-2
Dichlorotrifluoroethane,34077-87-7
Dicyclopentadiene,77-73-6
Diepoxybutane,1464-53-5
Diethanolamine,111-42-2
Diethyl sulfate,64-67-5
Diflubenzuron,35367-38-5
Diglycidyl resorcinol ether,101-90-6
Dimethipin,55290-64-7
Dimethoate,60-51-5
Dimethyl chlorothiophosphate,2524-03-0
Dimethyl phthalate,131-11-3
Dimethyl sulfate,77-78-1
Dimethylamine,124-40-3
Dimethylamine dicamba,2300-66-5
Dinitrobutyl phenol,88-85-7
Dinitrotoluene (mixed isomers),25321-14-6
Diphenylamine,122-39-4
Dipropyl isocinchomeronate,136-45-8
"Ethanol, 2,2'-iminobis-, compd. with α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoropoly(difluoromethylene)] (1:1)",65530-64-5
"Ethanol, 2,2'-iminobis-, compd. with α-fluoro-ω-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (2:1)",65530-63-4
Ethoprop,13194-48-4
Ethyl acrylate,140-88-5
Ethyl chloroformate,541-41-3
Ethylbenzene,100-41-4
Ethylene,74-85-1
Ethylene glycol,107-21-1
Ethylene oxide,75-21-8
Ethylene thiourea,96-45-7
"Ethylenebisdithiocarbamic acid, salts and esters",N171
Ethyleneimine,151-56-4
Fenpropathrin,39515-41-8
Hexabromocyclododecane,N270
"Hexachloro-1,3-butadiene",87-68-3
Hexachlorobenzene,118-74-1
Hexachlorocyclopentadiene,77-47-4
Hexachloroethane,67-72-1
Hexachlorophene,70-30-4
Hexafluoropropylene oxide dimer acid,13252-13-6
Hexafluoropropylene oxide dimer acid ammonium salt,62037-80-3
Hexazinone,51235-04-2
Hydramethylnon,67485-29-4
Isobutyraldehyde,78-84-2
"Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)",67-63-0
Lithium carbonate,554-13-2
Mecoprop,93-65-2
Methacrylonitrile,126-98-7
Methanol,67-56-1
Methiocarb,2032-65-7
Methoxone,94-74-6
Methoxychlor,72-43-5
Methyl acrylate,96-33-3
Methyl chlorocarbonate,79-22-1
Methyl hydrazine,60-34-4
Methyl iodide,74-88-4
Methyl isobutyl ketone,108-10-1
Methyl isocyanate,624-83-9
Methyl isothiocyanate,556-61-6
Methyl methacrylate,80-62-6
Methyl parathion,298-00-0
Methyl tert-butyl ether,1634-04-4
Methylene bromide,74-95-3
Monochloropentafluoroethane (CFC-115),76-15-3
Myclobutanil,88671-89-0
"N,N-Dimethylaniline",121-69-7
"N,N-Dimethylformamide",68-12-2
N-Hydroxyethylethylenediamine,111-41-1
N-Methyl-2-pyrrolidone,872-50-4
N-Methylolacrylamide,924-42-5
N-Nitroso-N-ethylurea,759-73-9
N-Nitroso-N-methylurea,684-93-5
N-Nitrosodi-n-butylamine,924-16-3
N-Nitrosodi-n-propylamine,621-64-7
N-Nitrosodiethylamine,55-18-5
N-Nitrosodimethylamine,62-75-9
N-Nitrosodiphenylamine,86-30-6
Nitrilotriacetic acid,139-13-9
Nitrobenzene,98-95-3
Nitromethane,75-52-5
Nonylphenol,N530
Nonylphenol Ethoxylates,N535
Oxydemeton-methyl,301-12-2
Pendimethalin,40487-42-1
Pentachlorobenzene,608-93-5
Pentachloroethane,76-01-7
Pentachlorophenol,87-86-5
Peracetic acid,79-21-0
Perfluorobutane sulfonic acid,375-73-5
Perfluorobutanoic acid,375-22-4
Perfluorohexanesulfonic acid,355-46-4
Perfluorooctyl Ethylene,21652-58-4
Permethrin,52645-53-1
Phenanthrene,85-01-8
Phenol,108-95-2
Phenolphthalein,77-09-8
Phenothrin,26002-80-2
Phenytoin,57-41-0
"Phosphoric acid, γ-ω-perfluoro-C8-16-alkyl esters, compds. with diethanolamine",74499-44-8
Piperonyl butoxide,51-03-6
Pirimiphos-methyl,29232-93-7
"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-",65530-62-3
"Poly(difluoromethylene), α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoro-, ammonium salt",65530-70-3
"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-",65530-61-2
"Poly(difluoromethylene), α-fluoro-ω-[2-(phosphonooxy)ethyl]-, diammonium salt",65530-72-5
"Poly(difluoromethylene), α-fluoro-ω-[2-[(1-oxo-2-propenyl)oxy]ethyl]-, homopolymer",65605-73-4
"Poly(oxy-1,2-ethanediyl), α-[2-[ethyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl]-ω-methoxy-",68958-60-1
"Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, ether with α-fluoro-ω-(2-hydroxyethyl)poly(difluoromethylene) (1:1)",65545-80-4
Polybrominated biphenyls,N575
