CHEMICAL,CAS#,Formula,MolecularWeight,C_atoms,Carbon_Fraction
"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",354-11-0,C2HCl4F,185.8,2,12.93
"1,1,1,2-Tetrachloroethane",630-20-6,C2H2Cl4,167.8,2,14.32
"1,1,1-Trichloroethane",71-55-6,C2H3Cl3,133.4,2,18.01
"1,1,2,2-Tetrachloro-1-fluoroethane (HCFC-121)",354-14-3,C2HCl4F,185.8,2,12.93
"1,1,2,2-Tetrachloroethane",79-34-5,C2H2Cl4,167.8,2,14.32
"1,1,2-Trichloroethane",79-00-5,C2H3Cl3,133.4,2,18.01
"1,1-Dichloro-1,2,2,3,3-pentafluoropropane (HCFC-225cc)",13474-88-9,C3HCl2F5,202.93,3,17.76
"1,1-Dichloro-1-fluoroethane (HCFC-141b)",1717-00-6,C2H3Cl2F,116.95,2,20.54
"1,1-Dimethylhydrazine",57-14-7,C2H8N2,60.1,2,39.97
"1,2,3-Trichloropropane",96-18-4,C3H5Cl3,147.43,3,24.44
"1,2,4-Trichlorobenzene",120-82-1,C6H3Cl3,181.4,6,39.73
"1,2,4-Trimethylbenzene",95-63-6,C9H12,120.19,9,89.94
"1,2-Butylene oxide",106-88-7,C4H8O,72.11,4,66.63
"1,2-Dibromo-3-chloropropane",96-12-8,C3H5Br2Cl,236.33,3,15.25
"1,2-Dibromoethane",106-93-4,C2H4Br2,187.86,2,12.79
"1,2-Dichloro-1,1,2-trifluoroethane (HCFC-123a)",354-23-4,C2HCl2F3,152.93,2,15.71
"1,2-Dichloro-1,1-difluoroethane (HCFC-132b)",1649-08-7,C2H2Cl2F2,134.94,2,17.8
"1,2-Dichlorobenzene",95-50-1,C6H4Cl2,147.0,6,49.02
"1,2-Dichloroethane",107-06-2,C2H4Cl2,98.96,2,24.27
"1,2-Dichloroethylene",540-59-0,C2H2Cl2,96.94,2,24.78
"1,2-Dichloropropane",78-87-5,C3H6Cl2,112.98,3,31.89
"1,2-Diphenylhydrazine",122-66-7,C12H12N2,184.24,12,78.23
"1,2-Phenylenediamine",95-54-5,C6H8N2,108.14,6,66.64
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",1222-05-5,C18H26O,258.4,18,83.67
"1,3-Butadiene",106-99-0,C4H6,54.09,4,88.82
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane (HCFC-225cb)",507-55-1,C3HCl2F5,202.93,3,17.76
"1,3-Dichloro-2-propanol",96-23-1,C3H6Cl2O,128.98,3,27.94
"1,3-Dichlorobenzene",541-73-1,C6H4Cl2,147.0,6,49.02
"1,3-Dichloropropylene",542-75-6,C3H4Cl2,110.97,3,32.47
"1,3-Phenylenediamine",108-45-2,C6H8N2,108.14,6,66.64
"1,3-Propane sultone",1120-71-4,C3H6O3S,122.15,3,29.5
